x-acc,y-acc,z-acc,x-gyro,y-gyro,z-gyro,x-rot,y-rot,z-rot,y
-0.15322891,2.6168625,8.796297000000001,-0.2320011,0.16119681,-0.093984395,-0.0070620724,0.14037457,0.989984,2
-0.15322891,2.6168625,8.796297000000001,-0.2320011,0.16119681,-0.093984395,-0.0070620724,0.14037457,0.989984,8
-0.15322891,2.6168625,8.796297000000001,-0.2320011,0.16119681,-0.093984395,-0.0070620724,0.14037457,0.989984,6
-0.15322891,2.6168625,8.796297000000001,-0.2320011,0.16119681,-0.093984395,-0.0070620724,0.14037457,0.989984,0
0.17477672,2.8203697,8.559271,-0.24477181,0.13671963,-0.08653482,5.240014e-05,-0.15515457,-0.9878302999999999,1
0.17477672,2.8203697,8.559271,-0.24477181,0.13671963,-0.08653482,5.240014e-05,-0.15515457,-0.9878302999999999,3
0.17477672,2.8203697,8.559271,-0.24477181,0.13671963,-0.08653482,5.240014e-05,-0.15515457,-0.9878302999999999,6
0.17477672,2.8203697,8.559271,-0.24477181,0.13671963,-0.08653482,5.240014e-05,-0.15515457,-0.9878302999999999,8
-0.81881696,2.1332338,8.956709,-0.18836787,0.14310499,-0.11207622,-0.046181235,0.116178095,0.9917292999999999,1
-0.81881696,2.1332338,8.956709,-0.18836787,0.14310499,-0.11207622,-0.046181235,0.116178095,0.9917292999999999,3
-0.81881696,2.1332338,8.956709,-0.18836787,0.14310499,-0.11207622,-0.046181235,0.116178095,0.9917292999999999,7
-0.81881696,2.1332338,8.956709,-0.18836787,0.14310499,-0.11207622,-0.046181235,0.116178095,0.9917292999999999,7
0.29927522,2.5594015,8.839393,-0.44271767,0.07499458,-0.14613143,0.029149499,0.13049180000000002,0.97631234,1
0.29927522,2.5594015,8.839393,-0.44271767,0.07499458,-0.14613143,0.029149499,0.13049180000000002,0.97631234,4
0.29927522,2.5594015,8.839393,-0.44271767,0.07499458,-0.14613143,0.029149499,0.13049180000000002,0.97631234,5
0.29927522,2.5594015,8.839393,-0.44271767,0.07499458,-0.14613143,0.029149499,0.13049180000000002,0.97631234,5
-0.3184288,1.8148049,8.865729,-0.18623942,0.114370905,-0.09504862,-0.01731584,0.104476675,0.9918828000000002,1
-0.3184288,1.8148049,8.865729,-0.18623942,0.114370905,-0.09504862,-0.01731584,0.104476675,0.9918828000000002,4
-0.3184288,1.8148049,8.865729,-0.18623942,0.114370905,-0.09504862,-0.01731584,0.104476675,0.9918828000000002,5
-0.3184288,1.8148049,8.865729,-0.18623942,0.114370905,-0.09504862,-0.01731584,0.104476675,0.9918828000000002,6
